Speak only english,% Hispanic,% Hispanic Population Foreign Born,Hispanic Median Household Income
31.73690134,42.37756714,30.85973905,70.895
12.28571429,80,43.15715786,55.347
38.51568477,33.82927283,23.30951072,64.625
69.8144233,20.30007637,16.46381943,68.558
11.50418777,80.97884908,39.47988402,57.593
30.32477221,56.95609885,30.7186894,45.603
55.85764472,30.64969271,19.79375537,120.394
69.05503634,12.93865965,26.16852146,90.114
14.75947837,88.93811533,38.78983158,50.263
21.02024436,42.45740383,39.03024285,69.256
21.58475861,17.90581717,46.76155116,81.143
29.87012987,31.79731485,28.90220648,66.563
22.33156099,34.61834608,38.27846975,54.265
50.2533955,16.10533524,27.50289911,73.977
21.93364067,42.8400316,34.88994646,51.923
13.37496146,59.94062191,37.28015294,52.086
15.59180769,51.20028578,39.12740127,51.661
36.35518364,28.93298553,27.78791456,60.454
53.82051892,23.16297991,18.74862788,118.243
14.68405428,54.766315,37.60599971,60.013
10.6233126,64.9554642,42.69402178,42.268
45.93756461,26.25349251,27.30263158,49.861
53.81165919,20.15395043,20.73024261,93.816
25.56442195,29.89317256,38.6377709,74.406
45.13521048,11.86358396,25.85677749,95.938
39.5793499,13.12873725,28.39919625,71.701
24.15601207,55.86808188,34.6179943,75.108
47.89527721,9.994581548,30.35978314,127.528
33.89282606,41.45724364,32.02276862,67.055
35.92321755,25.59944399,34.38914027,65.313
71.8116416,14.37980241,23.40966921,82.353
46.15552167,18.50840582,25.90094837,98.485
34.13488115,19.56207292,43.80418154,66.518
28.3315686,26.48891196,40.33319334,63.547
25.82818641,27.44566487,36.41008174,60.329
9.375970196,50.15365704,45.95588235,60.21
22.56289885,40.55816655,40.70698522,62.454
48.24324324,12.43560276,38.04971319,104.479
30.66417481,30.64244607,35.03257953,61.399
33.08251818,26.73907024,36.57806927,66.38
24.12959381,18.92100855,45.72077185,52.88
39.33722001,14.44420647,34.90510083,70.147
22.91577597,15.90525633,48.91880865,55.774
18.61449864,33.8300486,50.2683928,53.622
13.99056243,21.76789415,50.28683022,44.21
31.78643839,13.64460693,42.89029536,63.643
50.34924331,10.83228247,36.32130384,65.673
46.29580102,12.61571442,38.23377961,112.115
47.57662153,11.08832688,50.47945205,63.75
55.20934761,8.232255166,39.92723965,86.163
10.38634418,64.20249478,52.00453671,54.235
16.18070818,41.02757492,46.23144868,50.615
15.75658908,49.93155924,46.07941947,66.96
39.65614431,14.46414335,37.66404199,84.464
34.26728482,25.83314969,34.11374408,82.604
31.92032686,13.99390144,41.33083411,76.311
34.19220056,17.37012987,36.65343746,80.956
24.3767879,47.13647322,39.06941932,55.75
29.39269505,33.81867206,38.3994419,68
25.99450194,37.63702097,39.02251595,57.454
34.61538462,13.50615042,45.80277099,85.921
10.22408148,86.35286085,46.13137724,63.577
13.75553455,52.57015057,49.44089271,61.406
15.66898586,92.89191282,39.29315786,58.268
18.3763449,76.20910196,38.91524483,70.079
14.47007671,59.87294548,41.68314106,53.506
32.23478939,30.71270028,36.46908782,80.714
18.07909605,69.83546618,41.29394166,84.234
48.14496182,27.77209521,23.84033446,113.616
31.59340659,47.18290483,33.17999222,74.138
13.17303483,72.63361373,45.55610798,54.513
57.56505576,18.00024582,25.4694435,114.886
50.10546812,21.74867326,26.0732038,95.163
31.48688047,14.41217893,48.55746859,54.007
36.96412948,23.26476659,34.65909091,89.929
50.59125964,10.38108402,27.19923918,86.964
40.60527593,18.61545186,41.57616672,90.368
51.86556537,13.91083622,22.20508867,110.056
46.19585687,12.8583859,36.76196921,77.864
51.78370259,14.80144404,33.65853659,110.707
